mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.714179277420044,0.008387036455500064,0.09132242202758789,0.0052782086399065,gini,50,200,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 200}",0.8136525379382522,0.8043813224358544,0.8316824418519334,0.8165721007420134,0.011335215497630417,23
2.0090718269348145,0.01885172312455932,0.23323750495910645,0.01611506644827164,gini,50,500,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 500}",0.8138785975928833,0.8041416141890534,0.83171388740396,0.8165780330619655,0.011417027530496398,22
3.9389150937398276,0.21979086431778902,0.44914444287618,0.040676137637159854,gini,50,1000,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 1000}",0.8139790685504972,0.804001348228043,0.832145739651793,0.8167087188101111,0.011650892242175262,19
0.5991779168446859,0.013648683270704193,0.08719674746195476,0.02869415646542444,entropy,15,100,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 100}",0.8116807953950811,0.8003732749380317,0.8286196450845362,0.8135579051392163,0.011607670232996269,59
1.238702932993571,0.21325040776552057,0.1071306864420573,0.012919295503036271,entropy,15,200,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 200}",0.8127294610151753,0.8025400700073693,0.8285085374673753,0.81459268949664,0.010683134397605534,56
2.6597246328989663,0.013254902257285619,0.22325921058654785,9.934762297346394e-05,entropy,15,500,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 500}",0.8124803767660912,0.8029797095866551,0.8289634497866942,0.8148078453798137,0.01073472624419394,54
5.060754776000977,0.028047597066439032,0.45057304700215656,0.03515177582399561,entropy,15,1000,"{'criterion': 'entropy', 'min_samples_leaf': 15, 'n_estimators': 1000}",0.8128435374149661,0.8033167665974408,0.8291919541314214,0.8151174193812761,0.010685168439701812,50
0.508256753285726,0.008632215083391279,0.060556650161743164,0.004186570784255826,entropy,20,100,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 100}",0.812880167451596,0.8033711981644001,0.8303177048939762,0.8155230235033241,0.011158466809688787,46
1.0745916366577148,0.15495347601442053,0.11525265375773112,0.018053183800669816,entropy,20,200,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 200}",0.813869178440607,0.8041143984055737,0.8302254646080313,0.8160696804847373,0.010772761994708259,40
3.063997268676758,0.2931644811349403,0.27143430709838867,0.05394111465633713,entropy,20,500,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 500}",0.8139989534275247,0.8040578733168084,0.830296741192625,0.816117855978986,0.010816248821967845,38
5.832876284917195,0.5479295585844851,0.6982072194417318,0.33536470329112855,entropy,20,1000,"{'criterion': 'entropy', 'min_samples_leaf': 20, 'n_estimators': 1000}",0.8139738356881213,0.8042274485831045,0.8306007148622161,0.8162673330444806,0.010888293136819074,34
0.4920748869578044,0.031331935885284865,0.0559388796488444,0.004263818505040611,entropy,25,100,"{'criterion': 'entropy', 'min_samples_leaf': 25, 'n_estimators': 100}",0.8132726321297751,0.8043949303275942,0.8313480708153832,0.8163385444242509,0.011215103185338521,31
1.1100208759307861,0.08346838344509169,0.14051326115926108,0.033864336826867285,entropy,25,200,"{'criterion': 'entropy', 'min_samples_leaf': 25, 'n_estimators': 200}",0.8137414965986395,0.8043781821531453,0.8310954582141022,0.8164050456552956,0.01106869700890027,27
2.4550503889719644,0.05916981719872261,0.21363107363382974,0.010942886135442071,entropy,25,500,"{'criterion': 'entropy', 'min_samples_leaf': 25, 'n_estimators': 500}",0.8142009419152276,0.8045896278555638,0.8308900139408615,0.8165601945705511,0.010865914039713615,24
