pessoa feliz;predict_arvore;proba_arvore;proba_naive;predict_naive;proba_reg;predict_reg
1;1;1.0;1.1398539216274866e-15;0;0.9372143951850032;1
1;1;1.0;7.094092752375303e-20;0;0.9848060779979743;1
1;1;1.0;1.0;1;0.999996377099384;1
1;1;0.625;4.1735627041246027e-19;0;0.4517461321205144;0
1;1;1.0;1.0;1;0.9993031543979514;1
0;1;0.7142857142857143;3.759247336790076e-17;0;0.8202416176597502;1
1;1;0.8888888888888888;1.2000527398454295e-11;0;0.9594453193621498;1
1;1;0.6;2.9611433091408614e-14;0;0.9831104097068681;1
1;1;1.0;1.0;1;0.987189852442434;1
1;1;0.625;2.683279244893968e-20;0;0.7932148216291727;1
1;0;0.4;7.261440636906954e-17;0;0.7858157156017219;1
1;1;1.0;2.1063727782091264e-26;0;0.8871435675836712;1
1;1;0.6666666666666666;3.494886030962024e-17;0;0.8537062256277747;1
1;1;1.0;2.2132997647704938e-12;0;0.9986898270100094;1
1;1;0.8888888888888888;1.6794554144209723e-17;0;0.4464382452933554;0
1;1;0.625;4.405439064232948e-20;0;0.6994763557055683;1
1;1;0.8571428571428571;4.434224043459805e-11;0;0.999801600351908;1
1;1;1.0;1.0;1;0.9998735936290171;1
1;1;1.0;4.952434532419645e-19;0;0.5341189832477196;1
0;1;0.5714285714285714;1.4748493217827976e-21;0;0.4571084556588852;0
1;1;1.0;4.682697588637633e-12;0;0.9993795736734395;1
0;1;0.8571428571428571;0.0;0;0.11213575756363381;0
1;1;1.0;1.0;1;0.9993340733268107;1
1;1;1.0;1.5332196726931834e-17;0;0.9113867081044071;1
1;1;1.0;1.0;1;0.9858765627600161;1
1;1;1.0;1.0;1;0.9999964034061098;1
1;1;1.0;1.3758049812883688e-09;0;0.9997874892274368;1
1;1;0.5714285714285714;3.3857907820018273e-22;0;0.6163136495208849;1
1;1;1.0;1.2877943437762957e-17;0;0.8685207469547668;1
0;0;0.2;7.585275843068025e-43;0;0.2971515356321545;0
1;1;1.0;1.4167790715913566e-15;0;0.9778843094147385;1
1;1;0.6;8.626338863521541e-20;0;0.8951511009119802;1
1;1;1.0;1.0;1;0.9946675381490042;1
1;1;1.0;1.0;1;0.9992567815256304;1
1;1;1.0;1.4862784974949869e-18;0;0.9379083899388391;1
1;1;1.0;0.0001438249348897416;0;0.9999840491131354;1
1;1;1.0;5.4767194565524435e-11;0;0.9994513787710815;1
1;1;0.5714285714285714;8.55890540751584e-19;0;0.7841393781470497;1
1;1;1.0;7.126006428534383e-20;0;0.9296496443455183;1
1;1;0.6666666666666666;1.5646028150867166e-19;0;0.46979587895590524;0
1;1;0.8571428571428571;0.00023657268421899851;0;0.9999877896900747;1
1;1;1.0;1.7121558990511173e-12;0;0.8958080095111606;1
1;0;0.2;4.877632571754484e-17;0;0.9354395904880075;1
1;1;1.0;1.266659936192206e-09;0;0.9991520569432629;1
1;0;0.2857142857142857;4.642549758422656e-18;0;0.7347852588525318;1
1;1;0.7142857142857143;9.38710161066927e-18;0;0.866356051146205;1
1;1;1.0;6.876031099129568e-16;0;0.8730451597395188;1
1;1;0.8571428571428571;7.72732955508486e-12;0;0.9993044107875884;1
1;1;1.0;1.0;1;0.999994247192184;1
1;1;0.625;4.301973226831618e-20;0;0.7372775697195797;1
1;1;0.6666666666666666;5.993053004849664e-20;0;0.6926695038239077;1
1;1;1.0;1.0;1;0.99811681551791;1
1;1;0.625;1.8088835900572754e-18;0;0.6887858138180624;1
1;1;1.0;4.056165608861599e-18;0;0.7472962149161239;1
1;1;1.0;1.437160225266655e-40;0;0.6862104249673042;1
0;1;0.6;8.392132740910336e-21;0;0.2114301600083057;0
1;1;1.0;6.1507289681365894e-12;0;0.9981499263800843;1
1;1;1.0;1.0;1;0.9999943557463481;1
0;1;0.6;1.5602783072554143e-18;0;0.9002489664563684;1
1;1;0.8888888888888888;6.191840211765589e-17;0;0.9328858509224565;1
1;1;0.6;3.394823278593553e-12;0;0.9921871869867429;1
1;0;0.2;2.6461467633703704e-18;0;0.7773652274137325;1
1;1;1.0;1.0;1;0.9998722540039455;1
1;1;1.0;1.243530332576414e-10;0;0.9998408519317049;1
0;1;0.7142857142857143;7.035142174180125e-19;0;0.8381298156286434;1
