mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.747804482777913,0.16344067836159715,0.6950747966766357,0.05596841114321858,gini,50,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 1000}",0.8102951334379906,0.7970717910497755,0.8273964131106988,0.8115877791994883,0.01241367191400934,58
3.031191905339559,0.17178204287136353,0.3336795171101888,0.02357836676107119,entropy,15,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",0.8128278388278389,0.8002727858913379,0.8306132930830267,0.8145713059340678,0.012447659815539799,8
3.2489330768585205,0.05429053863578171,0.3633965651194255,0.03365863259318825,entropy,15,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",0.8131522762951334,0.8003000016748175,0.8303994633292454,0.814617247099732,0.01233163959267214,4
4.187385082244873,0.32050807516407515,0.451183557510376,0.03549465505144121,entropy,15,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 500}",0.8133532182103611,0.8003230304146848,0.8299235873085753,0.8145332786445403,0.012113151229919458,10
5.442565441131592,0.05195813277446868,0.6341712474822998,0.025077479852246558,entropy,15,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 1000}",0.8131187859759288,0.8001597357138073,0.8301541880234374,0.8144775699043912,0.012282820323846779,13
2.802412192026774,0.04727415782761279,0.31267110506693524,0.034725892598618316,entropy,20,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",0.8128644688644688,0.8010641371340524,0.8302170791274907,0.8147152283753373,0.01197337295261158,1
3.1174089908599854,0.051214926146077935,0.36346912384033203,0.029649003132604247,entropy,20,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",0.8118545264259549,0.8001702033228377,0.8306971478884312,0.8142406258790746,0.012576265717025269,20
4.076144695281982,0.02536777760148654,0.48539280891418457,0.020469874321186618,entropy,20,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 500}",0.812283621140764,0.80017439036645,0.8309298449734286,0.8144626188268808,0.012650046645699431,15
5.276150385538737,0.09240599962346069,0.6357061862945557,0.029431030673240873,entropy,20,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 1000}",0.8129324960753531,0.7998645491391441,0.8310241816295085,0.8146070756146685,0.012775858398003756,6
2.8886069456736245,0.08448768388826965,0.3171095848083496,0.032943254600508294,entropy,25,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",0.8113448456305599,0.799050169156562,0.8290546418875716,0.8131498855582312,0.012315592361496874,42
3.2170966466267905,0.058489739210436216,0.3717223008473714,0.010213502595243352,entropy,25,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",0.811665096807954,0.7995086504321028,0.8295147951322286,0.8135628474574285,0.012323237482818298,32
4.022633711496989,0.18303777200851176,0.47155102094014484,0.046583669404983694,entropy,25,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 500}",0.8124092098377813,0.7995358662155825,0.830504281836001,0.8141497859631216,0.012702569174405204,24
5.178253332773845,0.05395124516146699,0.6496991316477457,0.052486357766358,entropy,25,1000,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 1000}",0.8119759288330717,0.7992029962484088,0.8308774357200507,0.8140187869338438,0.013011468809620562,27
2.705533822377523,0.06988809724979422,0.30272920926411945,0.03350495581101748,entropy,30,100,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 100}",0.8112810047095761,0.798422112614725,0.8278586627254908,0.8125205933499307,0.01204934453553053,47
3.044036785761515,0.09214306758466723,0.3526875178019206,0.039084520535617076,entropy,30,200,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 200}",0.8111104133961277,0.7985110872914852,0.8297432994769556,0.8131216000548562,0.01282956022451656,44
3.7939585049947104,0.08598878413822908,0.4543874263763428,0.03507387189792542,entropy,30,500,"{'Model__criterion': 'entropy', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 500}",0.811462061747776,0.7989015291083273,0.8301353206922214,0.8134996371827748,0.012832282712401978,34
